scope,k,observed_silhouette,null_mean_silhouette,null_95_silhouette
absolute,2,0.2315233672457954,0.22433101901028582,0.24264757706744547
absolute,3,0.20319201875842147,0.21277599627433402,0.2268149928674386
absolute,4,0.2050790460906309,0.19920630559736305,0.21354920435785954
absolute,5,0.20013087370262364,0.19731177032002697,0.2121778592292565
absolute,6,0.17747413076914953,0.1920720018616578,0.20392699705292644
absolute,7,0.17073024192064634,0.1901824384463135,0.2009214290975055
absolute,8,0.18736273033187292,0.18882126956875778,0.2008515949923417
residual,2,0.2841591345194418,0.28046552810372566,0.2993641516890537
residual,3,0.2556111046510575,0.2493722369152892,0.2647399628954955
residual,4,0.22773848929798807,0.23805925427608998,0.2513277266437814
residual,5,0.2155677787525217,0.24084558095271694,0.25692697749099236
residual,6,0.22608620182855801,0.23926973768501206,0.25452916581543455
residual,7,0.23131328421743216,0.2401491124856392,0.25359783385244306
residual,8,0.22245000382499874,0.2396306520981447,0.2560202736445359
