player,n_events,sg_total,sg_ott,sg_app,sg_arg,sg_putt,made_cut_rate,wins,top10s,cluster_abs,cluster_res,stability_abs,stability_res
Aaron Baddeley,117,-0.39803418803418805,-0.6582905982905982,-0.2864957264957265,0.37632478632478633,0.17982905982905983,0.5042735042735043,1,6,2,3,0.89,0.86
Aaron Rai,23,0.06695652173913041,0.1617391304347826,0.03999999999999998,-0.007826086956521741,-0.12739130434782608,0.6521739130434783,0,1,0,0,0.93,0.515
Aaron Wise,97,0.15391752577319587,0.28855670103092784,0.08206185567010309,0.013711340206185568,-0.251340206185567,0.6391752577319587,1,11,0,2,0.96,0.92
Abraham Ancer,107,0.2944859813084112,0.3482242990654205,0.0725233644859813,-0.08757009345794393,-0.04794392523364486,0.7289719626168224,1,17,0,0,0.92,0.735
Adam Hadwin,147,0.2164625850340136,0.027074829931972785,-0.06204081632653061,0.033605442176870746,0.236734693877551,0.7346938775510204,1,22,2,0,0.755,0.585
Adam Long,92,-0.3214130434782609,-0.0018478260869565174,-0.12358695652173912,-0.18608695652173915,-0.019239130434782606,0.5543478260869565,1,4,1,0,0.56,0.91
Adam Schenk,113,-0.2245132743362832,0.10309734513274336,-0.1669911504424779,-0.25132743362831855,0.10168141592920354,0.5752212389380531,0,6,1,0,0.615,0.895
Adam Scott,91,0.8402197802197802,0.23164835164835162,0.5551648351648352,0.015934065934065936,0.03417582417582418,0.8351648351648352,2,23,0,2,0.91,0.825
Adam Svensson,43,-0.11302325581395352,0.11372093023255815,0.33162790697674416,-0.01697674418604651,-0.5344186046511628,0.5348837209302325,0,2,0,2,0.885,0.975
Akshay Bhatia,14,-0.9035714285714286,-0.15357142857142855,0.13142857142857142,-0.20857142857142857,-0.6742857142857143,0.2857142857142857,0,1,1,2,0.55,0.985
Alex Cejka,98,-0.5190816326530613,-0.13877551020408163,-0.1839795918367347,0.17020408163265305,-0.3713265306122449,0.5102040816326531,0,5,2,3,0.68,0.505
Alex Prugh,47,-0.34297872340425534,0.2927659574468085,-0.19787234042553192,-0.2772340425531915,-0.16170212765957445,0.5319148936170213,0,2,1,0,0.77,0.84
Alex Smalley,22,-0.25909090909090904,0.26545454545454544,-0.023636363636363636,-0.17454545454545453,-0.31272727272727274,0.5909090909090909,0,1,0,2,0.72,0.645
Alexander Noren,81,0.30493827160493825,-0.09506172839506172,-0.14555555555555555,0.18987654320987654,0.29234567901234565,0.7777777777777778,0,11,2,3,0.915,0.595
Anders Albertson,22,-0.8822727272727273,-0.2831818181818182,0.049090909090909095,-0.17909090909090908,-0.4677272727272727,0.3181818181818182,0,1,1,2,0.62,0.875
Andres Gonzales,58,-0.9372413793103448,-0.40120689655172415,-0.42758620689655175,-0.08396551724137931,-0.023620689655172392,0.46551724137931033,0,3,2,3,0.76,0.68
Andres Romero,42,-0.7259523809523809,-0.12714285714285714,-0.5016666666666667,-0.11833333333333335,0.020476190476190474,0.4523809523809524,0,1,2,1,0.715,0.81
Andrew Landry,104,-0.7604807692307692,0.1321153846153846,-0.37288461538461537,-0.28240384615384617,-0.22288461538461538,0.5480769230769231,2,9,1,0,0.945,0.82
Andrew Loupe,53,-1.7184905660377359,-0.3713207547169811,-0.45660377358490567,-0.4960377358490566,-0.3928301886792453,0.3018867924528302,0,2,1,0,0.695,0.89
Andrew Putnam,111,-0.43837837837837834,-0.7128828828828828,-0.05189189189189189,0.06891891891891892,0.26495495495495497,0.5495495495495496,0,9,2,3,0.89,0.96
Andy Sullivan,15,-0.5586666666666666,-0.23933333333333331,-0.436,-0.12533333333333335,0.23999999999999996,0.4666666666666667,0,0,2,1,0.805,0.745
Anirban Lahiri,115,-0.5036521739130435,0.03921739130434782,-0.35156521739130436,0.012695652173913042,-0.22660869565217392,0.5478260869565217,0,8,2,1,0.545,0.625
Arjun Atwal,33,-1.1818181818181819,-0.48939393939393944,-0.4303030303030303,0.09636363636363637,-0.35848484848484846,0.36363636363636365,0,0,2,3,0.785,0.905
Austin Cook,104,-0.4009615384615385,-0.004711538461538452,-0.42461538461538456,-0.050288461538461546,0.019615384615384625,0.5384615384615384,1,5,2,1,0.77,0.76
Beau Hossler,110,-0.35163636363636364,0.02009090909090909,-0.6579999999999999,-0.11199999999999999,0.39718181818181814,0.6545454545454545,0,9,2,1,0.785,0.86
Ben Crane,87,-0.66,-0.2605747126436782,-0.412183908045977,0.06206896551724137,-0.024942528735632182,0.5057471264367817,0,2,2,1,0.93,0.54
Ben Martin,100,-0.3489,0.012000000000000002,0.03560000000000001,-0.2726,-0.12330000000000002,0.58,1,8,1,0,0.635,0.725
Ben Taylor,26,-0.7961538461538461,-0.46384615384615385,-0.23153846153846153,-0.17461538461538464,0.0726923076923077,0.38461538461538464,0,0,2,3,0.785,0.86
Benjamin Silverman,45,-0.5331111111111111,0.10222222222222221,-0.43977777777777777,-0.10288888888888889,-0.09177777777777778,0.5111111111111111,0,2,1,1,0.625,0.63
Bernd Wiesberger,31,-0.18064516129032257,0.02741935483870968,0.17838709677419354,0.20129032258064514,-0.5893548387096774,0.6129032258064516,0,1,0,2,0.88,0.975
Bill Haas,127,-0.20511811023622048,-0.12102362204724411,-0.06385826771653542,0.26433070866141734,-0.277244094488189,0.5905511811023622,0,10,2,3,0.7,0.62
Billy Horschel,137,0.5782481751824817,0.3302189781021898,0.07364963503649635,-0.13328467153284673,0.29846715328467155,0.7883211678832117,2,30,0,0,0.76,0.925
Blayne Barber,73,-0.38027397260273976,0.041917808219178086,-0.23191780821917807,-0.21164383561643835,0.02205479452054795,0.5068493150684932,0,3,1,0,0.615,0.88
